facility_id,facility_name,countyparish,citytown,zip_code,hospital_type,hospital_ownership,emergency_services,hospital_overall_rating,count_of_mort_measures_better,count_of_mort_measures_worse,count_of_safety_measures_better,count_of_safety_measures_worse,count_of_readm_measures_better,count_of_readm_measures_worse
100289,CLEVELAND CLINIC HOSPITAL,BROWARD,WESTON,33331,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,4.0,0.0,3.0,1.0,1.0,2.0
100285,MEMORIAL HOSPITAL MIRAMAR,BROWARD,MIRAMAR,33029,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5.0,0.0,0.0,1.0,0.0,0.0,1.0
100276,BROWARD HEALTH CORAL SPRINGS,BROWARD,CORAL SPRINGS,33065,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,1.0,0.0,2.0,0.0,0.0,1.0
100073,HOLY CROSS HOSPITAL,BROWARD,FT LAUDERDALE,33308,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4.0,0.0,0.0,1.0,0.0,2.0,1.0
100230,MEMORIAL HOSPITAL PEMBROKE,BROWARD,PEMBROKE PINES,33024,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,0.0,0.0,1.0,0.0,0.0,1.0
100200,BROWARD HEALTH IMPERIAL POINT,BROWARD,FORT LAUDERDALE,33308,Acute Care Hospitals,Government - Hospital District or Authority,No,3.0,0.0,0.0,1.0,0.0,0.0,1.0
100039,BROWARD HEALTH MEDICAL CENTER,BROWARD,FORT LAUDERDALE,33316,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,0.0,0.0,3.0,0.0,0.0,2.0
100086,BROWARD HEALTH NORTH,BROWARD,DEERFIELD BEACH,33064,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,0.0,0.0,2.0,0.0,0.0,2.0
100360,HCA FLORIDA UNIVERSITY HOSPITAL,BROWARD,DAVIE,33328,Acute Care Hospitals,Proprietary,Yes,3.0,0.0,0.0,1.0,0.0,0.0,0.0
100281,MEMORIAL HOSPITAL WEST,BROWARD,PEMBROKE PINES,33028,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,1.0,0.0,2.0,0.0,0.0,3.0
100038,MEMORIAL REGIONAL HOSPITAL,BROWARD,HOLLYWOOD,33021,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,0.0,0.0,3.0,0.0,0.0,4.0
100167,HCA FLORIDA MERCY HOSPITAL,BROWARD,PLANTATION,33317,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,2.0,0.0,2.0,0.0,0.0,2.0
